menu_id,channel,brand,name,category,price_krw,serving_g,kcal,protein_g,carb_g,sugar_g,fat_g,sat_fat_g,sodium_mg,protein_source,cooking,marketing_claim,claim_text,barcode,launch_date,source_type,source_url,verified_at,rule_version,fiber_g
cvs-seven-smoked-quail-eggs-100,cvs,7-ELEVEN,촉촉한 메추리알 훈제 100g,닭가슴살/육가공,2900,100,155,13.0,1.5,0.5,10.5,3.2,480,Q1,boiled,0,,8801111033366,2026-06-01,T4,https://7-eleven.co.kr,2026-09-10,v1.0,
cvs-seven-ricotta-salad-185,cvs,7-ELEVEN,리코타치즈 닭가슴살 샐러드 185g,샐러드,4700,185,240,19.0,18.0,5.0,9.5,3.8,520,Q1,raw,0,,8801111033373,2026-09-01,T4,https://7-eleven.co.kr,2026-09-12,v1.0,5.0
cvs-seven-hotbar-cheese-80,cvs,7-ELEVEN,더블치즈 닭가슴살 핫바 80g,닭가슴살/육가공,2300,80,130,14.0,3.0,1.0,6.5,2.5,440,Q1,boiled,1,단백질 14g,8801111033380,2026-08-10,T4,https://7-eleven.co.kr,2026-09-10,v1.0,
cvs-seven-spam-mayo-tri-115,cvs,7-ELEVEN,스팸마요 삼각김밥 115g,삼각김밥/주먹밥,1400,115,240,5.5,34.0,1.8,9.0,3.0,560,Q4,mixed,0,,8801111033397,2026-01-01,T4,https://7-eleven.co.kr,2026-09-10,v1.0,
cvs-seven-protein-granola-bar-45,cvs,7-ELEVEN,마켓오네이처 오!그래놀라 단백질바 45g,과자/바,1700,45,205,10.5,22.0,9.0,8.0,3.0,140,Q2,baked,1,단백질 10.5g,8801111033403,2026-04-20,T2,https://7-eleven.co.kr,2026-09-10,v1.0,
cvs-seven-egg-whites-pack-100,cvs,7-ELEVEN,촉촉 흰자만 쏙 난백팩 100g,닭가슴살/육가공,2200,100,55,11.5,0.5,0.1,0.2,0.0,180,Q1,boiled,1,100% 난백 고단백,8801111033410,2026-08-05,T4,https://7-eleven.co.kr,2026-09-10,v1.0,
cvs-seven-sweet-potato-chicken-210,cvs,7-ELEVEN,꿀고구마 & 수비드 닭가슴살 210g,도시락,4500,210,280,24.0,38.0,8.0,2.5,0.5,380,Q1,boiled,1,단백질 24g 클린 식단,8801111033427,2026-09-06,T4,https://7-eleven.co.kr,2026-09-14,v1.0,5.0
cvs-emart24-chicken-breast-steak-110,cvs,EMART24,아임닭 닭가슴살 스테이크 갈릭 110g,닭가슴살/육가공,2800,110,140,22.0,4.0,1.0,3.5,0.8,460,Q1,grilled,1,단백질 22g,8801234044411,2026-07-15,T4,https://emart24.co.kr,2026-09-10,v1.0,
cvs-emart24-roast-chicken-salad-200,cvs,EMART24,로스트 닭가슴살 에그 샐러드 200g,샐러드,4900,200,260,25.0,16.0,4.0,9.5,2.2,640,Q1,grilled,1,단백질 25g 샐러드,8801234044428,2026-09-04,T4,https://emart24.co.kr,2026-09-14,v1.0,5.2
cvs-emart24-protein-drink-coffee-250,cvs,EMART24,셀렉스 프로틴 아메리카노 250mL,유제품/음료,2800,250,90,18.0,3.0,0.2,0.5,0.1,120,Q1,raw,1,단백질 18g 프로틴커피,8801234044435,2026-08-01,T2,https://emart24.co.kr,2026-09-10,v1.0,
cvs-emart24-bulgogi-lunchbox-380,cvs,EMART24,직화 소불고기 영양 도시락 380g,도시락,5500,380,530,27.0,72.0,7.0,14.0,4.2,940,Q1,grilled,0,,8801234044442,2026-08-10,T4,https://emart24.co.kr,2026-09-10,v1.0,
cvs-emart24-spicy-pork-tri-110,cvs,EMART24,매콤제육 삼각김밥 110g,삼각김밥/주먹밥,1300,110,210,6.0,37.0,2.0,4.0,1.0,460,Q1,mixed,0,,8801234044459,2026-01-01,T4,https://emart24.co.kr,2026-09-10,v1.0,
cvs-emart24-washing-protein-bar-40,cvs,EMART24,에너지 프로틴 초코바 40g,과자/바,1600,40,210,5.0,24.0,14.0,10.5,5.0,180,Q5,baked,1,에너지 프로틴바,8801234044466,2026-08-20,T4,https://emart24.co.kr,2026-09-12,v1.0,
cvs-emart24-chicken-breast-frank-70,cvs,EMART24,아임닭 프랑크 오리지널 70g,닭가슴살/육가공,2200,70,105,14.5,1.5,0.5,4.5,1.2,380,Q1,boiled,1,닭가슴살 14.5g,8801234044473,2026-07-10,T4,https://emart24.co.kr,2026-09-10,v1.0,
cvs-emart24-high-protein-milk-200,cvs,EMART24,매일 소화가 잘되는 우유 고단백 200mL,유제품/음료,1600,200,125,11.0,9.0,9.0,4.5,3.0,130,Q1,raw,1,고단백 락토프리,8801234044480,2026-05-01,T2,https://emart24.co.kr,2026-09-10,v1.0,
cvs-emart24-egg-salad-sandwich-175,cvs,EMART24,에그 듬뿍 모닝 샌드위치 175g,샌드위치/버거,3000,175,330,13.0,32.0,4.0,16.0,4.5,620,Q1,mixed,0,,8801234044497,2026-06-15,T4,https://emart24.co.kr,2026-09-10,v1.0,
cvs-emart24-spicy-chicken-cup-200,cvs,EMART24,직화 불닭 닭가슴살 200g,닭가슴살/육가공,4200,200,220,34.0,8.0,4.0,4.5,1.0,920,Q1,grilled,1,단백질 34g,8801234044503,2026-08-25,T4,https://emart24.co.kr,2026-09-12,v1.0,
cvs-emart24-smoked-duck-slice-150,cvs,EMART24,훈제오리 슬라이스 150g,닭가슴살/육가공,4800,150,340,25.0,2.0,1.0,26.0,7.5,780,Q1,grilled,0,,8801234044510,2026-07-20,T4,https://emart24.co.kr,2026-09-10,v1.0,
cvs-emart24-plain-tofu-bar-80,cvs,EMART24,풀무원 고단백 결두부바 플레인 80g,닭가슴살/육가공,2500,80,125,11.0,3.0,1.0,7.5,1.2,280,Q1,baked,1,식물성 고단백 11g,8801234044527,2026-09-08,T4,https://emart24.co.kr,2026-09-14,v1.0,
fr-subway-roast-chicken-15cm,fr,SUBWAY,"로스트 치킨 (15cm, 위트빵)",샌드위치/버거,7300,247,300,29.0,40.0,6.0,4.0,1.1,590,Q1,grilled,1,고단백 치킨,,2026-01-01,T2,https://www.subway.co.kr/nutrition,2026-09-10,v1.0,5.0
fr-subway-rotisserie-chicken-15cm,fr,SUBWAY,"로티세리 바비큐 치킨 (15cm, 위트빵)",샌드위치/버거,7300,247,327,29.0,40.0,6.5,6.5,2.0,620,Q1,grilled,1,단백질 29g,,2026-01-01,T2,https://www.subway.co.kr/nutrition,2026-09-10,v1.0,5.0
fr-subway-roast-beef-15cm,fr,SUBWAY,"로스트 비프 (15cm, 위트빵)",샌드위치/버거,7600,235,290,26.0,40.0,6.0,3.5,1.2,610,Q1,baked,0,,,2026-01-01,T2,https://www.subway.co.kr/nutrition,2026-09-10,v1.0,
fr-subway-steak-cheese-15cm,fr,SUBWAY,"스테이크 & 치즈 (15cm, 위트빵)",샌드위치/버거,7900,245,355,28.0,41.0,6.5,9.5,3.8,780,Q1,grilled,0,,,2026-01-01,T2,https://www.subway.co.kr/nutrition,2026-09-10,v1.0,
fr-subway-roast-chicken-salad,fr,SUBWAY,로스트 치킨 샐러드 보울,샐러드,9100,340,160,26.0,12.0,6.0,2.5,0.5,450,Q1,grilled,1,고단백 클린 샐러드,,2026-01-01,T2,https://www.subway.co.kr/nutrition,2026-09-10,v1.0,6.0
fr-subway-egg-mayo-15cm,fr,SUBWAY,"에그마요 (15cm, 화이트빵)",샌드위치/버거,5500,238,415,14.0,41.0,5.0,22.0,4.5,580,Q1,mixed,0,,,2026-01-01,T2,https://www.subway.co.kr/nutrition,2026-09-10,v1.0,
fr-mcd-double-beef-burger,fr,MCDONALDS,더블 쿼터파운더 치즈 버거 단품,샌드위치/버거,7700,275,770,50.0,42.0,10.0,45.0,20.0,1320,Q1,grilled,0,,,2026-01-01,T2,https://www.mcdonalds.co.kr,2026-09-10,v1.0,
fr-mcd-mcspicy-shanghai,fr,MCDONALDS,맥스파이시 상하이 버거 단품,샌드위치/버거,5500,234,490,21.0,58.0,8.0,19.0,3.5,990,Q1,fried,0,,,2026-01-01,T2,https://www.mcdonalds.co.kr,2026-09-10,v1.0,
fr-mcd-chicken-tender-4p,fr,MCDONALDS,맥너겟 (10조각),닭가슴살/육가공,4800,160,420,24.0,26.0,0.5,24.0,4.5,860,Q3,fried,0,,,2026-01-01,T2,https://www.mcdonalds.co.kr,2026-09-10,v1.0,
fr-mcd-cheeseburger,fr,MCDONALDS,치즈버거 단품,샌드위치/버거,3000,114,310,16.0,32.0,6.0,13.0,6.0,630,Q1,grilled,0,,,2026-01-01,T2,https://www.mcdonalds.co.kr,2026-09-10,v1.0,
fr-mcd-egg-mcmuffin,fr,MCDONALDS,에그 맥머핀,샌드위치/버거,3500,139,300,17.0,29.0,3.0,13.0,5.0,690,Q1,grilled,0,,,2026-01-01,T2,https://www.mcdonalds.co.kr,2026-09-10,v1.0,
fr-bk-double-whopper,fr,BURGERKING,더블 와퍼 단품,샌드위치/버거,9800,379,930,54.0,50.0,11.0,58.0,24.0,1280,Q1,grilled,0,,,2026-01-01,T2,https://www.burgerking.co.kr,2026-09-10,v1.0,
fr-bk-whopper-junior,fr,BURGERKING,와퍼 주니어 단품,샌드위치/버거,4800,158,400,17.0,37.0,7.0,21.0,7.0,640,Q1,grilled,0,,,2026-01-01,T2,https://www.burgerking.co.kr,2026-09-10,v1.0,
fr-bk-long-chicken-burger,fr,BURGERKING,롱치킨버거 단품,샌드위치/버거,5600,210,570,23.0,56.0,6.0,28.0,6.5,1050,Q3,fried,0,,,2026-01-01,T2,https://www.burgerking.co.kr,2026-09-10,v1.0,
fr-bk-nugget-king-8p,fr,BURGERKING,너겟킹 (8조각),닭가슴살/육가공,3500,136,340,19.0,22.0,0.5,20.0,4.0,710,Q3,fried,0,,,2026-01-01,T2,https://www.burgerking.co.kr,2026-09-10,v1.0,
fr-moms-thigh-burger,fr,MOMSTOUCH,싸이버거 단품,샌드위치/버거,4900,230,590,28.0,57.0,8.0,28.0,6.5,1010,Q1,fried,0,,,2026-01-01,T2,https://www.momstouch.co.kr,2026-09-10,v1.0,
fr-moms-fillet-burger,fr,MOMSTOUCH,휠렛버거 단품,샌드위치/버거,5100,225,530,39.0,55.0,8.0,17.0,3.8,890,Q1,fried,1,통가슴살 패티,,2026-01-01,T2,https://www.momstouch.co.kr,2026-09-10,v1.0,
fr-moms-chicken-tender-4p,fr,MOMSTOUCH,후라이드 텐더 (4조각),닭가슴살/육가공,4000,140,310,28.0,15.0,0.5,15.0,3.0,680,Q1,fried,0,,,2026-01-01,T2,https://www.momstouch.co.kr,2026-09-10,v1.0,
fr-moms-washing-chicken-burger-set,fr,MOMSTOUCH,더블 프로틴 치킨버거 세트,샌드위치/버거,8900,450,980,38.0,105.0,14.0,45.0,13.0,1840,Q3,fried,1,더블 프로틴,,2026-09-08,T2,https://www.momstouch.co.kr,2026-09-10,v1.0,
fr-lot-trex-burger,fr,LOTTERIA,T-REX 버거 단품,샌드위치/버거,4800,215,475,26.0,54.0,7.0,17.0,4.5,890,Q1,fried,0,,,2026-01-01,T2,https://www.lotteeats.com,2026-09-10,v1.0,
fr-lot-hot-crispy,fr,LOTTERIA,핫크리스피 버거 단품,샌드위치/버거,5900,200,500,22.0,58.0,8.0,20.0,5.0,920,Q1,fried,0,,,2026-01-01,T2,https://www.lotteeats.com,2026-09-10,v1.0,
fr-lot-shrimp-burger,fr,LOTTERIA,리아 새우 버거 단품,샌드위치/버거,4700,180,490,15.0,55.0,7.0,23.0,4.5,710,Q3,fried,0,,,2026-01-01,T2,https://www.lotteeats.com,2026-09-10,v1.0,
fr-lot-chicken-fillet-3p,fr,LOTTERIA,치킨 휠레 (3조각),닭가슴살/육가공,3900,105,215,21.0,12.0,0.5,9.0,2.0,520,Q1,fried,0,,,2026-01-01,T2,https://www.lotteeats.com,2026-09-10,v1.0,
fr-salady-roast-chicken-bowl,fr,SALADY,로스트닭다리살 샐러디,샐러드,9900,280,340,32.0,22.0,6.0,13.5,3.0,580,Q1,grilled,1,고단백 32g 샐러디,,2026-05-01,T2,https://salady.com,2026-09-10,v1.0,6.0
fr-salady-tandanji-salad,fr,SALADY,탄단지 샐러디,샐러드,8900,270,370,20.0,38.0,7.0,16.0,3.5,560,Q1,mixed,1,탄단지 밸런스,,2026-01-01,T2,https://salady.com,2026-09-10,v1.0,5.5
fr-salady-chili-bacon-warmbowl,fr,SALADY,칠리베이컨 웜볼,샐러드,8900,310,480,21.0,58.0,5.0,18.0,4.5,790,Q4,mixed,0,,,2026-01-01,T2,https://salady.com,2026-09-10,v1.0,5.0
fr-salady-beef-warmbowl,fr,SALADY,우삼겹 메밀면 샐러디,샐러드,9300,300,380,18.0,42.0,6.0,16.0,5.0,680,Q1,boiled,0,,,2026-04-15,T2,https://salady.com,2026-09-10,v1.0,4.5
fr-salady-caesar-chicken-wrap,fr,SALADY,시저치킨 웜랩,샌드위치/버거,7400,220,495,21.0,56.0,4.0,21.0,6.0,740,Q1,grilled,0,,,2026-01-01,T2,https://salady.com,2026-09-10,v1.0,
fr-hansot-charcoal-pork-rice,fr,HANSOT,숯불직화구이 덮밥,도시락,6500,380,590,30.0,85.0,6.0,14.0,4.5,880,Q1,grilled,0,,,2026-01-01,T4,https://www.hsd.co.kr,2026-09-10,v1.0,
fr-hansot-chicken-mayo,fr,HANSOT,오리지널 치킨마요,도시락,3800,300,490,16.0,68.0,4.0,16.5,3.8,740,Q1,fried,0,,,2026-01-01,T4,https://www.hsd.co.kr,2026-09-10,v1.0,
fr-hansot-mega-chicken-pork-lunchbox,fr,HANSOT,메가 치킨제육 도시락,도시락,7900,520,820,44.0,105.0,9.0,26.0,6.5,1280,Q1,mixed,0,,,2026-06-01,T4,https://www.hsd.co.kr,2026-09-10,v1.0,
fr-hansot-pork-cutlet-doryeonnim,fr,HANSOT,돈까스도련님 도시락,도시락,4800,380,680,24.0,88.0,7.0,26.0,6.0,950,Q4,fried,0,,,2026-01-01,T4,https://www.hsd.co.kr,2026-09-10,v1.0,
fr-bonjuk-samgye-juk,fr,BONJUK,삼계죽 (1그릇),즉석밥/죽,12000,650,580,38.0,86.0,2.0,9.5,2.2,960,Q1,boiled,1,닭가슴살 듬뿍 보양,,2026-01-01,T2,https://www.bonif.co.kr,2026-09-10,v1.0,
fr-bonjuk-beef-vege-juk,fr,BONJUK,쇠고기야채죽 (1그릇),즉석밥/죽,11500,650,520,24.0,90.0,3.0,7.0,2.0,980,Q1,boiled,0,,,2026-01-01,T2,https://www.bonif.co.kr,2026-09-10,v1.0,
fr-bonjuk-bulnak-juk,fr,BONJUK,불낙죽 (불고기&낙지),즉석밥/죽,13000,650,550,28.0,88.0,4.0,8.5,2.2,1050,Q1,boiled,0,,,2026-01-01,T2,https://www.bonif.co.kr,2026-09-10,v1.0,
fr-dominos-grilled-chicken-slice-2p,fr,DOMINOS,그릴드 치킨 피자 (오리지널 2조각),샌드위치/버거,7500,220,490,28.0,58.0,6.0,16.5,6.5,890,Q1,baked,0,,,2026-01-01,T2,https://web.dominos.co.kr,2026-09-10,v1.0,
fr-dominos-super-supreme-2p,fr,DOMINOS,슈퍼슈프림 피자 (오리지널 2조각),샌드위치/버거,7000,210,470,20.0,54.0,6.0,18.0,7.0,860,Q4,baked,0,,,2026-01-01,T2,https://web.dominos.co.kr,2026-09-10,v1.0,
fr-dominos-chicken-wings-8p,fr,DOMINOS,하프앤하프 치킨윙 (8조각),닭가슴살/육가공,9800,240,440,36.0,6.0,2.0,30.0,8.0,1080,Q1,baked,0,,,2026-01-01,T2,https://web.dominos.co.kr,2026-09-10,v1.0,
fr-paris-protein-grain-bread-100,fr,PARIS,고단백 곡물 토스트 식빵 100g,디저트,3200,100,265,13.0,44.0,4.0,3.5,1.0,460,Q2,baked,1,고단백 곡물식빵,,2026-07-01,T2,https://www.paris.co.kr,2026-09-10,v1.0,5.0
fr-paris-chicken-caesar-salad-210,fr,PARIS,로스트치킨 시저 샐러드 210g,샐러드,6900,210,230,24.0,14.0,3.0,8.5,2.2,520,Q1,grilled,1,단백질 24g,,2026-08-10,T4,https://www.paris.co.kr,2026-09-10,v1.0,4.5
